DID,turns,emotion,set
MPATHY-002260,3,prepared,train
MPATHY-002261,3,joyful,train
MPATHY-002262,3,prepared,train
MPATHY-002263,3,guilty,train
MPATHY-002265,5,ashamed,train
MPATHY-002266,3,prepared,train
MPATHY-002267,3,grateful,train
MPATHY-002268,3,disappointed,train
MPATHY-002269,3,joyful,train
MPATHY-002270,3,surprised,train
MPATHY-002271,3,nostalgic,train
MPATHY-002272,3,surprised,train
MPATHY-002273,3,lonely,train
MPATHY-002274,3,impressed,train
MPATHY-002275,3,hopeful,train
MPATHY-002276,3,grateful,train
MPATHY-002277,3,angry,train
MPATHY-002280,3,impressed,train
MPATHY-002281,4,grateful,train
MPATHY-002282,3,proud,train
MPATHY-002283,3,anticipating,train
MPATHY-002284,4,hopeful,train
MPATHY-002285,3,sad,train
MPATHY-002287,3,annoyed,train
MPATHY-002289,3,anxious,train
MPATHY-002290,3,impressed,train
MPATHY-002291,3,guilty,train
MPATHY-002292,3,grateful,train
MPATHY-002293,4,nostalgic,train
MPATHY-002294,3,lonely,train
MPATHY-002295,3,surprised,train
MPATHY-002297,3,angry,train
MPATHY-002299,3,nostalgic,train
MPATHY-002300,4,furious,train
MPATHY-002301,3,devastated,train
MPATHY-002302,3,sentimental,train
MPATHY-002303,3,joyful,train
MPATHY-002304,4,proud,train
MPATHY-002305,4,confident,train
MPATHY-002307,3,trusting,train
MPATHY-002309,3,excited,train
MPATHY-002311,3,excited,train
MPATHY-002312,3,guilty,train
MPATHY-002313,3,hopeful,train
MPATHY-002314,3,joyful,train
MPATHY-002315,3,excited,train
MPATHY-002316,5,proud,train
MPATHY-002317,4,disappointed,train
MPATHY-002318,3,devastated,train
MPATHY-002319,3,hopeful,train
MPATHY-002320,3,angry,train
MPATHY-002321,4,disgusted,train
MPATHY-002322,3,apprehensive,train
MPATHY-002323,4,disappointed,train
MPATHY-002324,3,guilty,train
MPATHY-002325,4,anxious,train
MPATHY-002326,3,afraid,train
MPATHY-002328,4,sad,train
MPATHY-002329,3,anxious,train
MPATHY-002330,3,trusting,train
MPATHY-002331,3,guilty,train
MPATHY-002333,3,content,train
MPATHY-002334,3,caring,train
MPATHY-002335,3,angry,train
MPATHY-002336,5,sad,train
MPATHY-002337,4,guilty,train
MPATHY-002338,4,embarrassed,train
MPATHY-002339,3,apprehensive,train
MPATHY-002340,3,apprehensive,train
MPATHY-002341,3,excited,train
MPATHY-002342,4,confident,train
MPATHY-002343,3,devastated,train
MPATHY-002344,3,anticipating,train
MPATHY-002345,3,disappointed,train
MPATHY-002346,3,grateful,train
MPATHY-002347,3,lonely,train
MPATHY-002348,3,lonely,train
MPATHY-002349,3,sentimental,train
MPATHY-002350,4,sad,train
MPATHY-002352,3,terrified,train
MPATHY-002354,3,lonely,train
MPATHY-002355,4,devastated,train
MPATHY-002356,3,trusting,train
MPATHY-002357,3,proud,train
MPATHY-002358,3,excited,train
MPATHY-002359,4,angry,train
MPATHY-002360,4,content,train
MPATHY-002361,3,sad,train
MPATHY-002362,3,devastated,train
MPATHY-002363,3,confident,train
MPATHY-002364,3,terrified,train
MPATHY-002365,3,excited,train
MPATHY-002366,3,grateful,train
MPATHY-002367,4,sad,train
MPATHY-002368,3,disappointed,train
MPATHY-002369,3,grateful,train
MPATHY-002370,3,annoyed,train
MPATHY-002371,4,excited,train
MPATHY-002372,4,excited,train
MPATHY-002373,3,sad,train
MPATHY-002374,3,nostalgic,train
MPATHY-002376,3,excited,train
MPATHY-002377,3,guilty,train
MPATHY-002378,3,grateful,train
MPATHY-002379,3,terrified,train
MPATHY-002380,3,hopeful,train
MPATHY-002381,3,joyful,train
MPATHY-002382,4,devastated,train
MPATHY-002383,3,hopeful,train
MPATHY-002384,3,faithful,train
MPATHY-002385,3,terrified,train
MPATHY-002386,3,trusting,train
MPATHY-002387,3,nostalgic,train
MPATHY-002388,3,angry,train
MPATHY-002390,3,impressed,train
MPATHY-002391,3,trusting,train
MPATHY-002392,4,guilty,train
MPATHY-002393,3,sad,train
MPATHY-002394,3,grateful,train
MPATHY-002395,4,caring,train
MPATHY-002396,3,afraid,train
MPATHY-002397,3,jealous,train
MPATHY-002398,3,disappointed,train
MPATHY-002399,4,proud,train
MPATHY-002400,3,disappointed,train
MPATHY-002401,3,angry,train
MPATHY-002402,3,terrified,train
MPATHY-002403,3,jealous,train
MPATHY-002404,3,sentimental,train
MPATHY-002405,3,hopeful,train
MPATHY-002406,3,terrified,train
MPATHY-002407,4,jealous,train
MPATHY-002408,3,surprised,train
MPATHY-002409,3,impressed,train
MPATHY-002410,3,annoyed,train
MPATHY-002411,3,surprised,train
MPATHY-002412,3,furious,train
MPATHY-002413,3,surprised,train
MPATHY-002414,3,proud,train
MPATHY-002415,3,joyful,train
MPATHY-002416,3,devastated,train
MPATHY-002417,3,disgusted,train
MPATHY-002418,3,disgusted,train
MPATHY-002419,3,nostalgic,train
MPATHY-002420,3,annoyed,train
MPATHY-002422,4,nostalgic,train
MPATHY-002423,3,lonely,train
MPATHY-002424,3,excited,train
MPATHY-002425,4,joyful,train
MPATHY-002426,4,devastated,train
MPATHY-002427,5,ashamed,train
MPATHY-002428,3,afraid,train
MPATHY-002429,4,guilty,train
MPATHY-002430,3,sad,train
MPATHY-002431,3,embarrassed,train
MPATHY-002432,3,disappointed,train
MPATHY-002433,3,surprised,train
MPATHY-002434,4,anticipating,train
MPATHY-002435,3,disappointed,train
MPATHY-002436,5,surprised,train
MPATHY-002437,5,nostalgic,train
MPATHY-002438,3,disappointed,train
MPATHY-002439,3,grateful,train
MPATHY-002441,3,hopeful,train
MPATHY-002442,3,confident,train
MPATHY-002443,3,annoyed,train
MPATHY-002444,4,grateful,train
MPATHY-002445,3,disappointed,train
MPATHY-002446,4,disappointed,train
MPATHY-002447,3,joyful,train
MPATHY-002448,3,devastated,train
MPATHY-002449,3,disgusted,train
MPATHY-002450,3,annoyed,train
MPATHY-002451,3,grateful,train
MPATHY-002452,3,joyful,train
MPATHY-002453,3,jealous,train
MPATHY-002454,3,sentimental,train
MPATHY-002455,3,embarrassed,train
MPATHY-002457,3,impressed,train
MPATHY-002458,3,afraid,train
MPATHY-002459,3,guilty,train
MPATHY-002460,4,anticipating,train
MPATHY-002461,3,disgusted,train
MPATHY-002462,4,lonely,train
MPATHY-002463,3,joyful,train
MPATHY-002464,3,trusting,train
MPATHY-002465,4,anxious,train
MPATHY-002466,3,excited,train
MPATHY-002467,4,hopeful,train
MPATHY-002469,3,afraid,train
MPATHY-002470,3,anxious,train
MPATHY-002471,4,afraid,train
MPATHY-002472,4,embarrassed,train
MPATHY-002473,3,surprised,train
MPATHY-002474,4,caring,train
MPATHY-002475,3,disgusted,train
MPATHY-002477,3,proud,train
MPATHY-002478,4,surprised,train
MPATHY-002479,3,caring,train
MPATHY-002481,3,impressed,train
MPATHY-002482,4,lonely,train
MPATHY-002483,3,furious,train
MPATHY-002484,4,caring,train
MPATHY-002485,3,caring,train
MPATHY-002486,4,surprised,train
MPATHY-002487,3,guilty,train
MPATHY-002488,3,devastated,train
MPATHY-002490,4,jealous,train
MPATHY-002491,3,joyful,train
MPATHY-002493,4,embarrassed,train
MPATHY-002494,4,excited,train
MPATHY-002495,3,lonely,train
MPATHY-002496,3,terrified,train
MPATHY-002497,3,guilty,train
MPATHY-002498,4,angry,train
MPATHY-002499,3,joyful,train
MPATHY-002500,4,joyful,train
MPATHY-002501,3,afraid,train
MPATHY-002502,3,disgusted,train
MPATHY-002503,3,faithful,train
MPATHY-002504,4,prepared,train
MPATHY-002505,3,anxious,train
MPATHY-002506,3,guilty,train
MPATHY-002508,3,disappointed,train
MPATHY-002509,3,lonely,train
MPATHY-002510,3,trusting,train
MPATHY-002511,3,terrified,train
MPATHY-002512,4,annoyed,train
MPATHY-002513,3,sentimental,train
MPATHY-002514,3,grateful,train
MPATHY-002515,4,proud,train
MPATHY-002516,4,disgusted,train
MPATHY-002517,3,annoyed,train
MPATHY-002518,4,grateful,train
MPATHY-002519,3,excited,train
MPATHY-002521,3,joyful,train
MPATHY-002522,4,surprised,train
MPATHY-002524,4,prepared,train
MPATHY-002525,3,ashamed,train
MPATHY-002526,3,grateful,train
MPATHY-002527,3,grateful,train
MPATHY-002528,3,annoyed,train
MPATHY-002529,3,content,train
MPATHY-002530,3,sad,train
MPATHY-002531,4,sad,train
MPATHY-002532,4,afraid,train
MPATHY-002533,3,anticipating,train
MPATHY-002534,5,sad,train
MPATHY-002535,4,hopeful,train
MPATHY-002536,3,confident,train
MPATHY-002537,3,proud,train
MPATHY-002539,3,anticipating,train
MPATHY-002540,3,nostalgic,train
MPATHY-002541,4,guilty,train
MPATHY-002542,3,anxious,train
MPATHY-002543,4,surprised,train
MPATHY-002544,3,lonely,train
MPATHY-002545,3,impressed,train
MPATHY-002546,3,prepared,train
MPATHY-002548,5,embarrassed,train
MPATHY-002549,4,excited,train
MPATHY-002550,3,confident,train
MPATHY-002551,3,guilty,train
MPATHY-002552,3,terrified,train
MPATHY-002553,4,surprised,train
MPATHY-002554,3,surprised,train
MPATHY-002555,3,furious,train
MPATHY-002556,3,disgusted,train
MPATHY-002558,3,nostalgic,train
MPATHY-002559,4,guilty,train
MPATHY-002560,3,proud,train
MPATHY-002561,3,annoyed,train
MPATHY-002562,4,terrified,train
MPATHY-002565,3,afraid,train
MPATHY-002567,3,angry,train
MPATHY-002568,3,lonely,train
MPATHY-002569,3,disgusted,train
MPATHY-002570,4,disappointed,train
MPATHY-002571,3,disgusted,train
MPATHY-002572,4,angry,train
MPATHY-002573,3,surprised,train
MPATHY-002574,3,terrified,train
MPATHY-002576,3,grateful,train
MPATHY-002578,3,joyful,train
MPATHY-002580,3,annoyed,train
MPATHY-002581,4,lonely,train
MPATHY-002582,3,annoyed,train
MPATHY-002583,3,terrified,train
MPATHY-002584,3,prepared,train
MPATHY-002585,4,angry,train
MPATHY-002586,3,lonely,train
MPATHY-002587,3,embarrassed,train
MPATHY-002588,3,sad,train
MPATHY-002589,3,prepared,train
MPATHY-002590,3,disgusted,train
MPATHY-002591,3,disgusted,train
MPATHY-002592,3,prepared,train
MPATHY-002593,3,lonely,train
MPATHY-002594,3,angry,train
MPATHY-002595,4,disappointed,train
MPATHY-002596,3,ashamed,train
MPATHY-002597,3,afraid,train
MPATHY-002599,3,grateful,train
MPATHY-002600,4,faithful,train
MPATHY-002601,3,disgusted,train
MPATHY-002602,3,hopeful,train
MPATHY-002603,3,devastated,train
MPATHY-002604,3,surprised,train
MPATHY-002606,4,anxious,train
MPATHY-002607,3,annoyed,train
MPATHY-002608,3,angry,train
MPATHY-002610,3,sad,train
MPATHY-002611,3,hopeful,train
MPATHY-002612,3,devastated,train
MPATHY-002613,3,caring,train
MPATHY-002614,3,lonely,train
MPATHY-002615,3,annoyed,train
MPATHY-002616,3,prepared,train
MPATHY-002617,3,faithful,train
MPATHY-002618,4,proud,train
MPATHY-002619,3,disgusted,train
MPATHY-002621,3,furious,train
MPATHY-002623,3,confident,train
MPATHY-002624,3,terrified,train
MPATHY-002625,3,prepared,train
MPATHY-002626,3,guilty,train
MPATHY-002627,3,disappointed,train
MPATHY-002628,5,joyful,train
MPATHY-002629,5,sentimental,train
MPATHY-002632,4,terrified,train
MPATHY-002633,3,anxious,train
MPATHY-002634,3,lonely,train
MPATHY-002636,3,disappointed,train
MPATHY-002638,3,guilty,train
MPATHY-002639,3,grateful,train
MPATHY-002641,3,disgusted,train
MPATHY-002642,3,embarrassed,train
MPATHY-002643,3,caring,train
MPATHY-002644,3,joyful,train
MPATHY-002645,4,guilty,train
MPATHY-002646,3,nostalgic,train
MPATHY-002647,4,proud,train
MPATHY-002649,3,sentimental,train
MPATHY-002650,3,disappointed,train
MPATHY-002652,3,sad,train
MPATHY-002653,3,annoyed,train
MPATHY-002654,4,surprised,train
MPATHY-002655,3,disgusted,train
MPATHY-002656,3,disgusted,train
MPATHY-002657,4,afraid,train
MPATHY-002659,3,jealous,train
MPATHY-002660,3,furious,train
MPATHY-002661,4,embarrassed,train
MPATHY-002662,4,nostalgic,train
MPATHY-002663,6,guilty,train
MPATHY-002664,4,annoyed,train
MPATHY-002665,5,excited,train
MPATHY-002666,3,grateful,train
MPATHY-002671,3,nostalgic,train
MPATHY-002672,3,faithful,train
MPATHY-002673,3,impressed,train
MPATHY-002674,4,angry,train
MPATHY-002675,3,trusting,train
MPATHY-002676,3,impressed,train
MPATHY-002677,6,proud,train
MPATHY-002679,3,prepared,train
MPATHY-002680,4,annoyed,train
MPATHY-002681,3,caring,train
MPATHY-002682,3,anxious,train
MPATHY-002683,4,devastated,train
MPATHY-002685,3,jealous,train
MPATHY-002686,3,anxious,train
MPATHY-002687,3,angry,train
MPATHY-002688,3,surprised,train
MPATHY-002689,4,anxious,train
MPATHY-002690,3,angry,train
MPATHY-002691,4,disappointed,train
MPATHY-002692,3,anxious,train
MPATHY-002693,3,devastated,train
MPATHY-002694,3,sad,train
MPATHY-002695,3,furious,train
MPATHY-002696,4,sad,train
MPATHY-002697,5,hopeful,train
MPATHY-002698,5,disgusted,train
MPATHY-002699,4,annoyed,train
MPATHY-002700,6,grateful,train
MPATHY-002701,3,impressed,train
MPATHY-002702,5,joyful,train
MPATHY-002703,6,angry,train
MPATHY-002704,3,annoyed,train
MPATHY-002705,3,excited,train
MPATHY-002706,3,annoyed,train
MPATHY-002707,4,devastated,train
MPATHY-002708,5,prepared,train
MPATHY-002710,4,devastated,train
MPATHY-002711,3,prepared,train
MPATHY-002712,4,prepared,train
MPATHY-002713,4,joyful,train
MPATHY-002714,4,joyful,train
MPATHY-002715,3,angry,train
MPATHY-002716,4,annoyed,train
MPATHY-002717,3,angry,train
MPATHY-002718,3,sentimental,train
MPATHY-002719,3,disappointed,train
MPATHY-002720,3,angry,train
MPATHY-002721,6,impressed,train
MPATHY-002722,4,annoyed,train
MPATHY-002723,3,sad,train
MPATHY-002724,3,sentimental,train
MPATHY-002725,4,lonely,train
MPATHY-002727,3,sad,train
MPATHY-002728,3,nostalgic,train
MPATHY-002729,4,joyful,train
MPATHY-002730,3,sentimental,train
MPATHY-002731,3,joyful,train
MPATHY-002732,3,proud,train
MPATHY-002733,4,furious,train
MPATHY-002734,4,terrified,train
MPATHY-002735,3,hopeful,train
MPATHY-002736,3,surprised,train
MPATHY-002737,4,hopeful,train
MPATHY-002738,3,afraid,train
MPATHY-002739,3,furious,train
MPATHY-002740,3,trusting,train
MPATHY-002741,3,jealous,train
MPATHY-002742,3,devastated,train
MPATHY-002743,3,nostalgic,train
MPATHY-002744,3,afraid,train
MPATHY-002745,3,afraid,train
MPATHY-002746,3,ashamed,train
MPATHY-002747,3,caring,train
MPATHY-002748,3,grateful,train
MPATHY-002749,3,furious,train
MPATHY-002750,3,prepared,train
MPATHY-002752,3,nostalgic,train
MPATHY-002753,3,lonely,train
MPATHY-002754,3,furious,train
MPATHY-002755,3,anticipating,train
MPATHY-002756,3,excited,train
MPATHY-002757,3,joyful,train
MPATHY-002758,3,faithful,train
MPATHY-002759,3,anxious,train
MPATHY-002760,4,surprised,train
MPATHY-002761,3,content,train
MPATHY-002762,3,guilty,train
MPATHY-002763,3,excited,train
MPATHY-002764,3,hopeful,train
MPATHY-002765,3,proud,train
MPATHY-002767,3,furious,train
MPATHY-002768,3,embarrassed,train
MPATHY-002769,3,excited,train
MPATHY-002770,4,proud,train
MPATHY-002771,3,devastated,train
MPATHY-002773,3,anticipating,train
MPATHY-002774,3,caring,train
MPATHY-002775,4,disappointed,train
MPATHY-002776,3,annoyed,train
MPATHY-002778,4,guilty,train
MPATHY-002779,3,sentimental,train
MPATHY-002780,4,guilty,train
MPATHY-002781,5,nostalgic,train
MPATHY-002782,3,grateful,train
MPATHY-002784,3,jealous,train
MPATHY-002785,3,impressed,train
MPATHY-002786,4,confident,train
MPATHY-002787,3,surprised,train
MPATHY-002789,3,anticipating,train
MPATHY-002790,4,proud,train
MPATHY-002791,3,trusting,train
MPATHY-002792,4,angry,train
MPATHY-002793,3,anticipating,train
MPATHY-002795,3,hopeful,train
MPATHY-002798,3,prepared,train
MPATHY-002800,7,devastated,train
MPATHY-002801,3,jealous,train
MPATHY-002802,3,lonely,train
MPATHY-002803,3,proud,train
MPATHY-002804,3,devastated,train
MPATHY-002805,3,afraid,train
MPATHY-002806,3,grateful,train
MPATHY-002807,3,confident,train
MPATHY-002808,3,impressed,train
MPATHY-002810,3,devastated,train
MPATHY-002811,3,angry,train
MPATHY-002812,3,guilty,train
MPATHY-002813,3,joyful,train
MPATHY-002814,3,grateful,train
MPATHY-002815,3,afraid,train
MPATHY-002816,4,confident,train
MPATHY-002817,3,proud,train
MPATHY-002818,3,caring,train
MPATHY-002819,3,caring,train
MPATHY-002820,3,faithful,train
MPATHY-002822,3,jealous,train
MPATHY-002823,4,impressed,train
MPATHY-002824,3,impressed,train
MPATHY-002825,3,terrified,train
MPATHY-002827,3,proud,train
MPATHY-002828,3,annoyed,train
MPATHY-002829,3,furious,train
MPATHY-002830,3,proud,train
MPATHY-002831,3,nostalgic,train
MPATHY-002832,3,surprised,train
MPATHY-002833,3,anxious,train
MPATHY-002834,3,faithful,train
MPATHY-002835,3,angry,train
MPATHY-002836,3,impressed,train
MPATHY-002837,4,furious,train
MPATHY-002838,3,prepared,train
MPATHY-002839,3,nostalgic,train
MPATHY-002840,3,guilty,train
MPATHY-002842,3,disappointed,train
MPATHY-002844,3,impressed,train
MPATHY-002845,4,proud,train
MPATHY-002846,3,anticipating,train
MPATHY-002847,3,disgusted,train
MPATHY-002848,3,angry,train
MPATHY-002850,3,excited,train
MPATHY-002851,3,disappointed,train
MPATHY-002852,4,prepared,train
MPATHY-002853,3,nostalgic,train
MPATHY-002854,4,jealous,train
MPATHY-002855,3,content,train
MPATHY-002856,3,hopeful,train
MPATHY-002857,3,impressed,train
MPATHY-002858,3,proud,train
MPATHY-002859,4,surprised,train
MPATHY-002861,3,disappointed,train
MPATHY-002863,3,proud,train
MPATHY-002864,3,surprised,train
MPATHY-002865,3,impressed,train
MPATHY-002866,3,embarrassed,train
MPATHY-002867,3,trusting,train
MPATHY-002868,4,surprised,train
MPATHY-002869,3,grateful,train
MPATHY-002871,3,prepared,train
MPATHY-002872,3,impressed,train
MPATHY-002873,4,devastated,train
MPATHY-002875,3,apprehensive,train
MPATHY-002877,4,content,train
MPATHY-002878,3,embarrassed,train
MPATHY-002879,4,jealous,train
MPATHY-002880,3,ashamed,train
MPATHY-002881,4,caring,train
MPATHY-002882,3,content,train
MPATHY-002884,3,caring,train
MPATHY-002885,4,annoyed,train
MPATHY-002886,3,sentimental,train
MPATHY-002887,3,angry,train
MPATHY-002888,3,content,train
MPATHY-002889,4,prepared,train
MPATHY-002890,3,trusting,train
MPATHY-002893,4,terrified,train
MPATHY-002894,3,caring,train
MPATHY-002895,4,grateful,train
MPATHY-002896,3,content,train
MPATHY-002897,4,disappointed,train
MPATHY-002898,3,surprised,train
MPATHY-002899,3,nostalgic,train
MPATHY-002901,4,content,train
MPATHY-002902,3,content,train
MPATHY-002903,4,angry,train
MPATHY-002904,4,sentimental,train
MPATHY-002905,3,anticipating,train
MPATHY-002906,6,excited,train
MPATHY-002907,7,embarrassed,train
MPATHY-002908,5,anxious,train
MPATHY-002909,4,guilty,train
MPATHY-002910,4,embarrassed,train
MPATHY-002912,4,confident,train
MPATHY-002914,4,afraid,train
MPATHY-002915,5,anxious,train
MPATHY-002917,4,guilty,train
MPATHY-002918,3,prepared,train
MPATHY-002920,7,guilty,train
MPATHY-002921,4,prepared,train
MPATHY-002922,4,jealous,train
MPATHY-002923,3,annoyed,train
MPATHY-002924,4,surprised,train
MPATHY-002925,3,excited,train
MPATHY-002927,3,hopeful,train
MPATHY-002928,7,annoyed,train
MPATHY-002929,7,grateful,train
MPATHY-002931,3,impressed,train
MPATHY-002932,3,angry,train
MPATHY-002933,3,trusting,train
MPATHY-002934,3,devastated,train
MPATHY-002935,3,nostalgic,train
MPATHY-002936,3,impressed,train
MPATHY-002937,3,nostalgic,train
MPATHY-002938,3,afraid,train
MPATHY-002939,3,anxious,train
MPATHY-002941,3,content,train
MPATHY-002942,3,disgusted,train
MPATHY-002943,3,trusting,train
MPATHY-002944,3,angry,train
MPATHY-002945,3,proud,train
MPATHY-002946,3,caring,train
MPATHY-002947,3,joyful,train
MPATHY-002948,3,anxious,train
MPATHY-002949,3,furious,train
MPATHY-002950,3,impressed,train
MPATHY-002951,3,annoyed,train
MPATHY-002952,3,joyful,train
MPATHY-002953,3,grateful,train
MPATHY-002954,3,grateful,train
MPATHY-002955,3,anticipating,train
MPATHY-002956,4,guilty,train
MPATHY-002957,3,confident,train
MPATHY-002958,3,excited,train
MPATHY-002959,3,lonely,train
MPATHY-002960,4,furious,train
MPATHY-002961,3,angry,train
MPATHY-002962,4,sad,train
MPATHY-002963,3,trusting,train
MPATHY-002964,3,proud,train
MPATHY-002966,3,trusting,train
MPATHY-002967,3,devastated,train
MPATHY-002968,3,anticipating,train
MPATHY-002969,3,devastated,train
MPATHY-002970,3,disappointed,train
MPATHY-002971,3,guilty,train
MPATHY-002972,3,afraid,train
MPATHY-002973,3,terrified,train
MPATHY-002974,3,grateful,train
MPATHY-002975,3,terrified,train
MPATHY-002976,3,lonely,train
MPATHY-002977,3,hopeful,train
MPATHY-002978,3,disgusted,train
MPATHY-002979,3,surprised,train
MPATHY-002980,3,grateful,train
MPATHY-002981,3,guilty,train
MPATHY-002982,3,prepared,train
MPATHY-002984,3,lonely,train
MPATHY-002985,3,sad,train
MPATHY-002986,5,trusting,train
MPATHY-002987,4,surprised,train
MPATHY-002988,3,hopeful,train
MPATHY-002989,3,caring,train
MPATHY-002990,3,trusting,train
MPATHY-002991,3,impressed,train
MPATHY-002992,3,sad,train
MPATHY-002993,3,jealous,train
MPATHY-002994,3,ashamed,train
MPATHY-002996,3,lonely,train
MPATHY-002997,3,disappointed,train
MPATHY-002998,3,furious,train
MPATHY-002999,3,devastated,train
MPATHY-003000,3,disappointed,train
MPATHY-003001,3,prepared,train
MPATHY-003002,3,confident,train
MPATHY-003003,3,excited,train
MPATHY-003004,3,grateful,train
MPATHY-003005,3,disgusted,train
MPATHY-003006,3,annoyed,train
MPATHY-003007,3,lonely,train
MPATHY-003008,3,disgusted,train
MPATHY-003009,3,excited,train
MPATHY-003010,4,grateful,train
MPATHY-003011,4,terrified,train
MPATHY-003012,3,sad,train
MPATHY-003014,3,terrified,train
MPATHY-003015,3,guilty,train
MPATHY-003016,3,devastated,train
MPATHY-003017,3,content,train
MPATHY-003018,3,surprised,train
MPATHY-003019,3,guilty,train
MPATHY-003020,3,terrified,train
MPATHY-003021,3,content,train
MPATHY-003022,3,anxious,train
MPATHY-003024,3,grateful,train
MPATHY-003026,3,lonely,train
MPATHY-003027,3,sad,train
MPATHY-003028,3,impressed,train
MPATHY-003030,3,angry,train
MPATHY-003031,3,embarrassed,train
MPATHY-003032,3,surprised,train
MPATHY-003033,3,terrified,train
MPATHY-003034,4,sad,train
MPATHY-003035,3,surprised,train
MPATHY-003036,3,disappointed,train
MPATHY-003037,3,proud,train
MPATHY-003038,3,guilty,train
MPATHY-003039,3,angry,train
MPATHY-003040,3,angry,train
MPATHY-003041,3,guilty,train
MPATHY-003042,3,lonely,train
MPATHY-003043,4,furious,train
MPATHY-003044,3,devastated,train
MPATHY-003045,3,impressed,train
MPATHY-003046,3,sentimental,train
MPATHY-003047,3,hopeful,train
MPATHY-003048,3,disgusted,train
MPATHY-003049,3,sad,train
MPATHY-003050,3,embarrassed,train
MPATHY-003051,3,terrified,train
MPATHY-003052,3,annoyed,train
MPATHY-003053,3,surprised,train
MPATHY-003054,3,proud,train
MPATHY-003055,4,caring,train
MPATHY-003056,3,surprised,train
MPATHY-003057,3,furious,train
MPATHY-003058,3,terrified,train
MPATHY-003059,4,nostalgic,train
MPATHY-003060,3,afraid,train
MPATHY-003061,3,confident,train
MPATHY-003062,3,guilty,train
MPATHY-003063,4,caring,train
MPATHY-003064,3,ashamed,train
MPATHY-003065,3,nostalgic,train
MPATHY-003066,3,impressed,train
MPATHY-003067,3,content,train
MPATHY-003068,3,embarrassed,train
MPATHY-003069,3,proud,train
MPATHY-003070,3,apprehensive,train
MPATHY-003071,4,prepared,train
MPATHY-003072,3,afraid,train
MPATHY-003073,3,impressed,train
MPATHY-003074,5,afraid,train
MPATHY-003075,4,sentimental,train
MPATHY-003076,3,anxious,train
MPATHY-003077,3,lonely,train
MPATHY-003079,3,apprehensive,train
MPATHY-003080,3,sentimental,train
MPATHY-003081,4,furious,train
MPATHY-003082,3,anxious,train
MPATHY-003083,3,afraid,train
MPATHY-003084,3,nostalgic,train
MPATHY-003085,4,excited,train
MPATHY-003086,5,disgusted,train
MPATHY-003088,3,ashamed,train
MPATHY-003089,3,disgusted,train
MPATHY-003090,3,furious,train
MPATHY-003091,3,surprised,train
MPATHY-003092,4,impressed,train
MPATHY-003093,3,embarrassed,train
MPATHY-003094,3,grateful,train
MPATHY-003095,3,disgusted,train
MPATHY-003096,3,terrified,train
MPATHY-003097,3,afraid,train
MPATHY-003098,4,annoyed,train
MPATHY-003099,3,jealous,train
MPATHY-003100,3,joyful,train
MPATHY-003101,4,annoyed,train
MPATHY-003102,3,surprised,train
MPATHY-003103,3,furious,train
MPATHY-003104,3,grateful,train
MPATHY-003105,3,sentimental,train
MPATHY-003106,3,disappointed,train
MPATHY-003107,3,anticipating,train
MPATHY-003108,3,caring,train
MPATHY-003109,3,disappointed,train
MPATHY-003110,3,disappointed,train
MPATHY-003111,3,terrified,train
MPATHY-003112,3,furious,train
MPATHY-003113,3,ashamed,train
MPATHY-003114,3,hopeful,train
MPATHY-003115,3,guilty,train
MPATHY-003116,3,jealous,train
MPATHY-003117,3,embarrassed,train
MPATHY-003118,3,surprised,train
MPATHY-003119,3,afraid,train
MPATHY-003120,3,grateful,train
MPATHY-003121,4,hopeful,train
MPATHY-003123,3,terrified,train
MPATHY-003125,7,surprised,train
MPATHY-003126,3,prepared,train
MPATHY-003127,3,grateful,train
MPATHY-003129,5,anxious,train
MPATHY-003130,4,caring,train
MPATHY-003131,3,afraid,train
MPATHY-003132,3,nostalgic,train
MPATHY-003133,4,afraid,train
MPATHY-003134,3,excited,train
MPATHY-003135,3,sad,train
MPATHY-003136,6,surprised,train
MPATHY-003138,3,impressed,train
MPATHY-003139,3,guilty,train
MPATHY-003140,6,lonely,train
MPATHY-003142,3,grateful,train
MPATHY-003143,3,content,train
MPATHY-003144,3,guilty,train
MPATHY-003145,3,sentimental,train
MPATHY-003147,3,sad,train
MPATHY-003148,3,anticipating,train
MPATHY-003149,3,annoyed,train
MPATHY-003150,3,lonely,train
MPATHY-003151,3,embarrassed,train
MPATHY-003152,3,nostalgic,train
MPATHY-003153,3,trusting,train
MPATHY-003154,3,proud,train
MPATHY-003155,3,annoyed,train
MPATHY-003156,3,hopeful,train
MPATHY-003157,3,lonely,train
MPATHY-003158,5,annoyed,train
MPATHY-003160,3,terrified,train
MPATHY-003161,3,surprised,train
MPATHY-003162,3,angry,train
MPATHY-003163,3,impressed,train
MPATHY-003164,3,proud,train
MPATHY-003165,3,impressed,train
MPATHY-003166,3,anxious,train
MPATHY-003167,3,proud,train
MPATHY-003168,3,faithful,train
MPATHY-003169,4,trusting,train
MPATHY-003170,3,confident,train
MPATHY-003171,3,sad,train
MPATHY-003172,3,excited,train
MPATHY-003173,3,grateful,train
MPATHY-003174,3,lonely,train
MPATHY-003175,3,annoyed,train
MPATHY-003177,3,annoyed,train
MPATHY-003178,3,afraid,train
MPATHY-003179,4,guilty,train
MPATHY-003180,3,proud,train
MPATHY-003181,3,caring,train
MPATHY-003182,3,guilty,train
MPATHY-003183,3,hopeful,train
MPATHY-003185,3,grateful,train
